Name,Seq,Group,Type,Northing,Easting,Chronology,Descriptio
Sa Taula des Moro,1,1,R,4386758.00,529457.00,Undet,Cyclopean Walls
Plat - Puig Son Sard,1,1,R,4388030.00,531670.00,Undet,Cyclopean Walls
Pula - Cases,1,2,H,4388760.00,532380.00,Iron Age,Cyclopean Walls
Cova d'en Bou,1,1,R,4386570.00,530820.00,Undet,Artificial Cave
Cova calenta,1,1,R,4385300.00,530410.00,Undet,Cave
Pula - Talaiots,1,2,H,4388428.18,532496.82,Iron Age,"Tower, Cyclopean Walls (UTM @ CIM: 4388630 532630). Presence of some Roman pottery."
Rumies,1,2,H,4387734.14,532661.23,Iron Age,Tower
Cova - Rafal Baix,1,1,R,4390786.00,531488.00,Iron Age,"(UTM @ CIM: 4390970, 531600). Natural Cave with cyclopean wall. Pottery found and limestone burial with bones"
Son Lluc,1,2,H,4386469.00,532280.00,Iron Age,"Tower. Presence of surface pottery. (UTM @ CIM: 4386090, 532400)"
Corralassos,1,2,H,4385846.00,533082.00,Iron Age,Talaiotic village. Pottery
Pleta Son Gener,1,2,H,4388591.49,530360.57,Iron Age,Cyclopean Walls
Mestre Ramon,1,1,R,4387386.60,533518.98,Bronze Age,
Turó de s'Olivar,1,2,H,4387810.09,533126.75,Iron Age,Tower
Puig de S. Sard,1,1,R,4387961.00,531495.00,Undet,"Cave (UTM @ CIM: 4388150, 5316000)"
N'Artigues,1,1,R,4389357.00,530615.00,Undet,Stepped Platform
Picot,1,2,H,4388595.98,530914.86,,
